TaskID,TaskType,ArrivalHour,GPU_Demand,EstimatedDuration_min,DelaySensitivity,SourceRegion,MaxLatency_ms,LatestFinishHour,EarliestStartHour,ExecutionMode,Duration_h,FinishIfArrival
1,AITraining,456,118,280,Low,RegionD,150,2406,456,NonPreemptive,4.666666666666667,460.6666666666667
2,RealTimeInference,1126,3,198,High,RegionB,20,1130,1126,NonPreemptive,3.3,1129.3
3,RealTimeInference,914,5,224,High,RegionB,20,918,914,NonPreemptive,3.7333333333333334,917.7333333333333
4,RealTimeInference,419,3,97,High,RegionC,20,421,419,NonPreemptive,1.6166666666666667,420.6166666666667
5,AITraining,2233,115,161,Low,RegionF,150,2406,2233,NonPreemptive,2.683333333333333,2235.6833333333334
6,RealTimeInference,1728,3,318,High,RegionA,20,1734,1728,NonPreemptive,5.3,1733.3
7,RealTimeInference,122,2,303,High,RegionA,20,128,122,NonPreemptive,5.05,127.05
8,RealTimeInference,895,2,286,High,RegionA,20,900,895,NonPreemptive,4.766666666666667,899.7666666666667
9,RealTimeInference,2069,1,323,High,RegionB,20,2075,2069,NonPreemptive,5.383333333333334,2074.383333333333
10,AITraining,108,37,245,Low,RegionE,150,2406,108,NonPreemptive,4.083333333333333,112.08333333333333
11,AITraining,814,104,68,Low,RegionF,150,2406,814,NonPreemptive,1.1333333333333333,815.1333333333333
12,AITraining,2232,57,197,Low,RegionF,150,2406,2232,NonPreemptive,3.283333333333333,2235.2833333333333
13,BatchInference,902,19,199,Medium,RegionA,80,2406,902,NonPreemptive,3.316666666666667,905.3166666666667
14,BatchInference,1139,18,60,Medium,RegionB,80,2406,1139,NonPreemptive,1.0,1140.0
15,RealTimeInference,653,4,253,High,RegionB,20,658,653,NonPreemptive,4.216666666666667,657.2166666666667
16,AITraining,1731,79,140,Low,RegionE,150,2406,1731,NonPreemptive,2.3333333333333335,1733.3333333333333
17,BatchInference,1138,8,144,Medium,RegionD,80,2406,1138,NonPreemptive,2.4,1140.4
18,RealTimeInference,881,5,176,High,RegionC,20,884,881,NonPreemptive,2.933333333333333,883.9333333333333
19,BatchInference,418,21,98,Medium,RegionA,80,2406,418,NonPreemptive,1.6333333333333333,419.6333333333333
20,RealTimeInference,1556,4,251,High,RegionA,20,1561,1556,NonPreemptive,4.183333333333334,1560.1833333333334
