TaskID,SourceRegion,AssignedRegion,ArrivalHour,StartHour,FinishHour,Duration_h,GPU_Demand,TaskType,NetworkLatency_ms,RunID,Question,Region,Available_GPU
41926,RegionC,RegionC,2376,2376.0,2379.6833333333334,3.683333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
31600,RegionB,RegionB,2376,2376.0,2381.05,5.05,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
49940,RegionB,RegionB,2376,2376.0,2377.55,1.55,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
33742,RegionA,RegionA,2376,2376.0,2378.5833333333335,2.5833333333333335,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
3498,RegionB,RegionB,2376,2376.0,2377.1833333333334,1.1833333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
17820,RegionC,RegionC,2376,2376.0,2377.25,1.25,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
6481,RegionA,RegionA,2377,2377.0,2383.45,6.45,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
6423,RegionA,RegionA,2377,2377.0,2381.383333333333,4.383333333333334,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
4316,RegionA,RegionA,2377,2377.0,2381.366666666667,4.366666666666666,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
45743,RegionB,RegionB,2377,2377.0,2383.5333333333333,6.533333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
22636,RegionF,RegionF,2377,2377.0,2381.1666666666665,4.166666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionF,966
47993,RegionC,RegionC,2377,2377.0,2378.4666666666667,1.4666666666666666,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
20965,RegionA,RegionA,2377,2377.0,2379.633333333333,2.6333333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
29589,RegionE,RegionE,2377,2377.0,2378.016666666667,1.0166666666666666,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionE,1012
49049,RegionB,RegionB,2377,2377.0,2378.633333333333,1.6333333333333333,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
44279,RegionB,RegionB,2377,2377.0,2379.85,2.85,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
3444,RegionA,RegionA,2378,2378.0,2379.7166666666667,1.7166666666666666,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
24568,RegionB,RegionB,2378,2378.0,2380.4166666666665,2.4166666666666665,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
25839,RegionA,RegionA,2378,2378.0,2383.483333333333,5.483333333333333,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
2508,RegionB,RegionB,2378,2378.0,2382.65,4.65,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
235,RegionE,RegionE,2378,2378.0,2378.4666666666667,0.4666666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionE,1012
23424,RegionA,RegionA,2379,2379.0,2385.616666666667,6.616666666666666,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
30238,RegionD,RegionD,2379,2379.0,2383.85,4.85,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionD,1472
30708,RegionB,RegionB,2379,2379.0,2385.4,6.4,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
29758,RegionC,RegionC,2380,2380.0,2386.15,6.15,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
24714,RegionC,RegionC,2380,2380.0,2385.4166666666665,5.416666666666667,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
46876,RegionB,RegionB,2380,2380.0,2382.85,2.85,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
28667,RegionB,RegionB,2380,2380.0,2381.2,1.2,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
43240,RegionA,RegionA,2381,2381.0,2387.5833333333335,6.583333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
35202,RegionC,RegionC,2381,2381.0,2383.9333333333334,2.933333333333333,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
41513,RegionC,RegionC,2381,2381.0,2383.383333333333,2.3833333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
9585,RegionB,RegionB,2381,2381.0,2383.0333333333333,2.033333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
39748,RegionC,RegionC,2381,2381.0,2384.35,3.35,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
29651,RegionB,RegionB,2382,2382.0,2386.733333333333,4.733333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
13505,RegionE,RegionE,2382,2382.0,2386.2833333333333,4.283333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionE,1012
4590,RegionC,RegionC,2382,2382.0,2385.45,3.45,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
11877,RegionC,RegionC,2382,2382.0,2383.383333333333,1.3833333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
3948,RegionF,RegionF,2382,2382.0,2387.5,5.5,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionF,966
7542,RegionD,RegionD,2382,2382.0,2382.6833333333334,0.6833333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionD,1472
42642,RegionC,RegionC,2382,2382.0,2385.5,3.5,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
15185,RegionA,RegionA,2382,2382.0,2382.883333333333,0.8833333333333333,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
35298,RegionA,RegionA,2383,2383.0,2387.3166666666666,4.316666666666666,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
41298,RegionA,RegionA,2383,2383.0,2388.35,5.35,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
45879,RegionB,RegionB,2383,2383.0,2387.383333333333,4.383333333333334,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
21103,RegionA,RegionA,2383,2383.0,2384.8,1.8,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
43047,RegionB,RegionB,2383,2383.0,2385.0333333333333,2.033333333333333,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
45061,RegionC,RegionC,2383,2383.0,2387.2,4.2,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
13331,RegionB,RegionB,2383,2383.0,2383.8166666666666,0.8166666666666667,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
47997,RegionA,RegionA,2384,2384.0,2388.0666666666666,4.066666666666666,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
11360,RegionE,RegionE,2384,2384.0,2390.5666666666666,6.566666666666666,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionE,1012
16950,RegionA,RegionA,2384,2384.0,2386.5333333333333,2.533333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
32107,RegionC,RegionC,2384,2384.0,2387.0833333333335,3.0833333333333335,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
26569,RegionB,RegionB,2384,2384.0,2385.1,1.1,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
22890,RegionC,RegionC,2384,2384.0,2385.8,1.8,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
26779,RegionB,RegionB,2384,2384.0,2385.75,1.75,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
24748,RegionE,RegionE,2384,2384.0,2387.116666666667,3.1166666666666667,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionE,1012
36634,RegionF,RegionF,2385,2385.0,2390.0833333333335,5.083333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionF,966
14669,RegionB,RegionB,2385,2385.0,2389.616666666667,4.616666666666666,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
23890,RegionA,RegionA,2385,2385.0,2389.7833333333333,4.783333333333333,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
25467,RegionB,RegionB,2385,2385.0,2387.866666666667,2.8666666666666667,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
9936,RegionC,RegionC,2385,2385.0,2386.516666666667,1.5166666666666666,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
40554,RegionB,RegionB,2386,2386.0,2392.2,6.2,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
32465,RegionB,RegionB,2386,2386.0,2388.4,2.4,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
19264,RegionD,RegionD,2386,2386.0,2389.3333333333335,3.3333333333333335,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionD,1472
40594,RegionC,RegionC,2386,2386.0,2392.0833333333335,6.083333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
48007,RegionC,RegionC,2386,2386.0,2390.266666666667,4.266666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
29239,RegionB,RegionB,2386,2386.0,2390.016666666667,4.016666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
8353,RegionB,RegionB,2386,2386.0,2387.25,1.25,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
48396,RegionA,RegionA,2386,2386.0,2388.6833333333334,2.683333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
19693,RegionA,RegionA,2386,2386.0,2387.2,1.2,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
3455,RegionC,RegionC,2386,2386.0,2388.866666666667,2.8666666666666667,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
35544,RegionC,RegionC,2387,2387.0,2390.4333333333334,3.433333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
23146,RegionC,RegionC,2387,2387.0,2392.55,5.55,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
28952,RegionC,RegionC,2387,2387.0,2389.05,2.05,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
21428,RegionC,RegionC,2387,2387.0,2389.366666666667,2.3666666666666667,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
23708,RegionB,RegionB,2387,2387.0,2388.6666666666665,1.6666666666666667,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
29773,RegionA,RegionA,2387,2387.0,2388.7833333333333,1.7833333333333334,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
25000,RegionB,RegionB,2387,2387.0,2388.65,1.65,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
36735,RegionB,RegionB,2387,2387.0,2391.5666666666666,4.566666666666666,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
9168,RegionC,RegionC,2387,2387.0,2389.35,2.35,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
32719,RegionA,RegionA,2387,2387.0,2388.8166666666666,1.8166666666666667,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
12025,RegionA,RegionA,2387,2387.0,2387.65,0.65,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
27636,RegionA,RegionA,2388,2388.0,2392.233333333333,4.233333333333333,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
28692,RegionA,RegionA,2388,2388.0,2392.3,4.3,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
36175,RegionA,RegionA,2388,2388.0,2389.4,1.4,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
43032,RegionB,RegionB,2388,2388.0,2390.2833333333333,2.283333333333333,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
6232,RegionA,RegionA,2389,2389.0,2395.0,6.0,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
10407,RegionC,RegionC,2389,2389.0,2391.366666666667,2.3666666666666667,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
48004,RegionA,RegionA,2389,2389.0,2389.8333333333335,0.8333333333333334,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
1096,RegionA,RegionA,2389,2389.0,2393.8333333333335,4.833333333333333,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
32162,RegionA,RegionA,2389,2389.0,2390.9166666666665,1.9166666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
34531,RegionB,RegionB,2390,2390.0,2395.766666666667,5.766666666666667,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
4354,RegionC,RegionC,2390,2390.0,2395.95,5.95,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
37033,RegionC,RegionC,2390,2390.0,2394.883333333333,4.883333333333334,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
21242,RegionB,RegionB,2390,2390.0,2391.1,1.1,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
25215,RegionA,RegionA,2391,2391.0,2394.4333333333334,3.433333333333333,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
35181,RegionB,RegionB,2391,2391.0,2395.2,4.2,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionB,585
35783,RegionA,RegionA,2391,2391.0,2395.616666666667,4.616666666666666,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionA,630
4943,RegionC,RegionC,2391,2391.0,2394.0,3.0,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
45363,RegionC,RegionC,2391,2391.0,2396.0833333333335,5.083333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1,RegionC,540
