TaskID,SourceRegion,AssignedRegion,ArrivalHour,StartHour,FinishHour,Duration_h,GPU_Demand,TaskType,NetworkLatency_ms,RunID,Question
41339,RegionA,RegionA,0,0.0,4.916666666666667,4.916666666666667,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1
25499,RegionB,RegionB,0,0.0,6.316666666666666,6.316666666666666,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1
39228,RegionB,RegionB,0,0.0,5.416666666666667,5.416666666666667,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1
39265,RegionA,RegionA,0,0.0,2.9833333333333334,2.9833333333333334,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1
35004,RegionB,RegionB,0,0.0,1.5666666666666667,1.5666666666666667,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1
31463,RegionC,RegionC,0,0.0,1.2333333333333334,1.2333333333333334,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1
36115,RegionC,RegionC,0,0.0,0.5666666666666667,0.5666666666666667,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1
39430,RegionA,RegionA,1,1.0,6.533333333333333,5.533333333333333,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1
27907,RegionB,RegionB,1,1.0,4.45,3.45,2,RealTimeInference,5.0,base.q1.sched.s20260908,q1
15197,RegionD,RegionD,1,1.0,1.65,0.65,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1
17221,RegionB,RegionB,1,1.0,1.4333333333333333,0.43333333333333335,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1
23761,RegionB,RegionB,1,1.0,3.2333333333333334,2.2333333333333334,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1
9020,RegionA,RegionA,2,2.0,8.016666666666666,6.016666666666667,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1
49578,RegionA,RegionA,2,2.0,5.933333333333334,3.933333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1
5647,RegionA,RegionA,2,2.0,6.783333333333333,4.783333333333333,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1
22958,RegionA,RegionA,2,2.0,6.516666666666667,4.516666666666667,3,RealTimeInference,5.0,base.q1.sched.s20260908,q1
30518,RegionB,RegionB,2,2.0,3.1833333333333336,1.1833333333333333,6,RealTimeInference,5.0,base.q1.sched.s20260908,q1
33849,RegionB,RegionB,2,2.0,8.566666666666666,6.566666666666666,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1
19780,RegionB,RegionB,2,2.0,3.45,1.45,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1
40083,RegionC,RegionC,2,2.0,6.6,4.6,1,RealTimeInference,5.0,base.q1.sched.s20260908,q1
9101,RegionB,RegionB,2,2.0,2.7,0.7,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1
36551,RegionA,RegionA,3,3.0,8.666666666666668,5.666666666666667,7,RealTimeInference,5.0,base.q1.sched.s20260908,q1
15383,RegionA,RegionA,3,3.0,9.4,6.4,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1
43098,RegionB,RegionB,3,3.0,8.9,5.9,4,RealTimeInference,5.0,base.q1.sched.s20260908,q1
41851,RegionA,RegionA,3,3.0,7.283333333333333,4.283333333333333,5,RealTimeInference,5.0,base.q1.sched.s20260908,q1
