Region,Hour,Load_MW,RenewableDirect_MW,RenewableCharge_MW,RenewableSell_MW,Curtailment_MW,GridToLoad_MW,GridCharge_MW,GridPurchase_MW,GridSell_MW,Charge_MW,Discharge_MW,SOC_MWh
RegionA,0,499.14900045,499.14900045,0.0,0.0,41.04099955000004,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,0,458.74350045000006,458.74350045000006,0.0,0.0,81.44649955,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,0,468.1097995399999,468.1097995399999,0.0,0.0,72.08020046000013,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,0,379.4432,379.4432,0.0,160.74680000000006,0.0,0.0,0.0,0.0,160.74680000000006,0.0,0.0,
RegionE,0,433.33750000000003,433.33750000000003,0.0,106.85250000000002,0.0,0.0,0.0,0.0,106.85250000000002,0.0,0.0,
RegionF,0,455.18070000000006,455.18070000000006,0.0,85.0093,0.0,0.0,0.0,0.0,85.0093,0.0,0.0,
RegionA,1,535.4235,535.4235,0.0,0.0,52.446500000000015,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,1,527.3369995500001,527.3369995500001,0.0,0.0,60.53300044999992,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,1,536.5439999999999,536.5439999999999,0.0,0.0,51.326000000000136,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,1,430.06976000000003,430.06976000000003,0.0,157.80023999999997,0.0,0.0,0.0,0.0,157.80023999999997,0.0,0.0,
RegionE,1,477.67291624999996,477.67291624999996,0.0,110.19708375000005,0.0,0.0,0.0,0.0,110.19708375000005,0.0,0.0,
RegionF,1,399.8341,399.8341,0.0,188.03590000000003,0.0,0.0,0.0,0.0,188.03590000000003,0.0,0.0,
RegionA,2,544.32,544.32,0.0,0.0,105.67999999999995,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,2,531.3599995500001,531.3599995500001,0.0,0.0,118.64000044999989,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,2,536.544,536.544,0.0,0.0,113.45600000000002,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,2,410.35264042666665,410.35264042666665,0.0,180.0,59.64735957333335,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,2,478.525,478.525,0.0,171.47500000000002,0.0,0.0,0.0,0.0,171.47500000000002,0.0,0.0,
RegionF,2,454.7743,454.7743,0.0,195.22570000000002,0.0,0.0,0.0,0.0,195.22570000000002,0.0,0.0,
RegionA,3,544.32,544.32,0.0,0.0,178.02999999999997,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,3,531.36,531.36,0.0,0.0,190.99,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,3,536.544,536.544,0.0,0.0,185.80600000000004,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,3,398.07274624,398.07274624,0.0,180.0,144.27725376,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,3,491.54,491.54,0.0,220.0,10.810000000000002,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,3,462.72407666666663,462.72407666666663,0.0,220.0,39.62592333333339,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,4,544.31999955,544.31999955,0.0,0.0,255.68000044999997,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,4,531.36000045,531.36000045,0.0,0.0,268.63999954999997,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,4,536.544,536.544,0.0,0.0,263.456,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,4,481.36405375999993,481.36405375999993,0.0,180.0,138.63594624000007,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,4,470.32291625,470.32291625,0.0,220.0,109.67708375000001,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,4,559.1428999999999,559.1428999999999,0.0,220.0,20.85710000000006,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,5,544.32,544.32,0.0,0.0,333.3299999999999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,5,531.35999955,531.35999955,0.0,0.0,346.29000045,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,5,536.54399954,536.54399954,0.0,0.0,341.10600046,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,5,664.95786624,664.95786624,0.0,180.0,32.69213375999993,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,5,611.3575,611.3575,0.0,220.0,46.29250000000002,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,5,634.0390329100001,634.0390329100001,0.0,220.0,23.610967089999917,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,6,544.3200004500001,544.3200004500001,0.0,0.0,405.67999954999993,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,6,531.36,531.36,0.0,0.0,418.64,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,6,536.544,536.544,0.0,0.0,413.456,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,6,676.6592000000002,676.6592000000002,0.0,180.0,93.34079999999983,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,6,643.2958337499999,643.2958337499999,0.0,220.0,86.70416625000007,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,6,681.2915004233334,681.2915004233334,0.0,220.0,48.708499576666554,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,7,544.3200004500001,544.3200004500001,0.0,0.0,467.80999954999993,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,7,531.3599995500001,531.3599995500001,0.0,0.0,480.7700004499999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,7,536.54399954,536.54399954,0.0,0.0,475.58600046000004,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,7,694.9461329066667,694.9461329066667,0.0,180.0,137.18386709333333,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,7,630.5445837500001,630.5445837500001,0.0,220.0,161.58541624999987,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,7,639.6863,639.6863,0.0,220.0,152.44370000000004,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,8,544.32,544.32,0.0,0.0,515.4899999999999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,8,531.3599995500001,531.3599995500001,0.0,0.0,528.4500004499998,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,8,536.54400046,536.54400046,0.0,0.0,523.2659995399999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,8,665.2902395733335,665.2902395733335,0.0,180.0,214.5197604266665,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,8,569.5562504166667,569.5562504166667,0.0,220.0,270.2537495833333,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,8,593.1526533333334,593.1526533333334,0.0,220.0,246.6573466666665,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,9,544.31999955,544.31999955,0.0,0.0,545.4600004499999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,9,531.36,531.36,0.0,0.0,558.42,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,9,536.54400046,536.54400046,0.0,0.0,553.23599954,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,9,617.65546624,617.65546624,0.0,180.0,292.12453375999996,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,9,580.2375,580.2375,0.0,220.0,289.5425,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,9,593.87401291,593.87401291,0.0,220.0,275.90598708999994,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,10,531.71100045,531.71100045,0.0,0.0,568.28899955,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,10,531.36,531.36,0.0,0.0,568.64,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,10,536.54400046,536.54400046,0.0,0.0,563.45599954,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,10,582.8270929066666,582.8270929066666,0.0,180.0,337.1729070933334,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,10,535.9562495833334,535.9562495833334,0.0,220.0,344.0437504166666,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,10,513.6895995766666,513.6895995766666,0.0,220.0,366.31040042333336,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,11,506.1015,506.1015,0.0,0.0,583.6785,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,11,531.3599995500001,531.3599995500001,0.0,0.0,558.4200004499999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,11,527.8499999999999,527.8499999999999,0.0,0.0,561.9300000000001,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,11,488.7296,488.7296,0.0,180.0,421.05039999999997,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,11,452.95416666666665,452.95416666666665,0.0,220.0,416.8258333333333,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,11,456.5522995766667,456.5522995766667,0.0,220.0,413.2277004233333,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,12,466.47899954999997,466.47899954999997,0.0,0.0,593.3310004499999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,12,482.38199955000005,482.38199955000005,0.0,0.0,577.4280004499999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,12,474.41639954,474.41639954,0.0,0.0,585.39360046,0.0,0.0,0.0,0.0,0.0,0.0,
