TaskID,SourceRegion,AssignedRegion,ArrivalHour,StartHour,FinishHour,Duration_h,GPU_Demand,TaskType,NetworkLatency_ms
1,RegionD,RegionD,456,460.0,464.6666666666667,4.666666666666667,118.0,AITraining,5.0
2,RegionB,RegionB,1126,1126.0,1129.3,3.3,3.0,RealTimeInference,5.0
3,RegionB,RegionB,914,914.0,917.7333333333333,3.7333333333333334,5.0,RealTimeInference,5.0
4,RegionC,RegionC,419,419.0,420.6166666666667,1.6166666666666667,3.0,RealTimeInference,5.0
5,RegionF,RegionF,2233,2237.0,2239.6833333333334,2.683333333333333,115.0,AITraining,5.0
6,RegionA,RegionA,1728,1728.0,1733.3,5.3,3.0,RealTimeInference,5.0
7,RegionA,RegionA,122,122.0,127.05,5.05,2.0,RealTimeInference,5.0
8,RegionA,RegionA,895,895.0,899.7666666666667,4.766666666666667,2.0,RealTimeInference,5.0
9,RegionB,RegionB,2069,2069.0,2074.383333333333,5.383333333333334,1.0,RealTimeInference,5.0
10,RegionE,RegionE,108,108.0,112.08333333333333,4.083333333333333,37.0,AITraining,5.0
11,RegionF,RegionF,814,818.0,819.1333333333333,1.1333333333333333,104.0,AITraining,5.0
12,RegionF,RegionF,2232,2236.0,2239.2833333333333,3.283333333333333,57.0,AITraining,5.0
13,RegionA,RegionA,902,902.0,905.3166666666667,3.316666666666667,19.0,BatchInference,5.0
14,RegionB,RegionB,1139,1139.0,1140.0,1.0,18.0,BatchInference,5.0
15,RegionB,RegionB,653,653.0,657.2166666666667,4.216666666666667,4.0,RealTimeInference,5.0
16,RegionE,RegionF,1731,1733.0,1735.3333333333333,2.3333333333333335,79.0,AITraining,18.0
17,RegionD,RegionD,1138,1138.0,1140.4,2.4,8.0,BatchInference,5.0
18,RegionC,RegionC,881,881.0,883.9333333333333,2.933333333333333,5.0,RealTimeInference,5.0
19,RegionA,RegionA,418,418.0,419.6333333333333,1.6333333333333333,21.0,BatchInference,5.0
20,RegionA,RegionA,1556,1556.0,1560.1833333333334,4.183333333333334,4.0,RealTimeInference,5.0
21,RegionA,RegionA,1470,1470.0,1475.9166666666667,5.916666666666667,2.0,RealTimeInference,5.0
22,RegionC,RegionC,1083,1083.0,1084.6833333333334,1.6833333333333333,5.0,BatchInference,5.0
23,RegionB,RegionB,1881,1881.0,1885.55,4.55,7.0,RealTimeInference,5.0
24,RegionF,RegionF,511,511.0,514.5833333333334,3.5833333333333335,62.0,AITraining,5.0
25,RegionF,RegionF,322,322.0,322.98333333333335,0.9833333333333333,20.0,BatchInference,5.0
