Region,Hour,Load_MW,RenewableDirect_MW,RenewableCharge_MW,RenewableSell_MW,Curtailment_MW,GridToLoad_MW,GridCharge_MW,GridPurchase_MW,GridSell_MW,Charge_MW,Discharge_MW,SOC_MWh
RegionA,0,499.14900044995505,499.14900044995505,0.0,0.0,41.040999550045,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,0,458.74350044995504,458.74350044995504,0.0,0.0,81.44649955004502,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,0,468.10979954004597,468.10979954004597,0.0,0.0,72.08020045995409,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,0,443.3408,443.3408,0.0,96.84920000000005,0.0,0.0,0.0,0.0,96.84920000000005,0.0,0.0,
RegionE,0,448.4125,448.4125,0.0,91.77750000000003,0.0,0.0,0.0,0.0,91.77750000000003,0.0,0.0,
RegionF,0,478.75190000000003,478.75190000000003,0.0,61.43810000000002,0.0,0.0,0.0,0.0,61.43810000000002,0.0,0.0,
RegionA,1,535.4235,535.4235,0.0,0.0,52.446500000000015,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,1,527.336999550045,527.336999550045,0.0,0.0,60.53300044995501,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,1,536.5439999999999,536.5439999999999,0.0,0.0,51.326000000000136,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,1,465.3568,465.3568,0.0,122.51319999999998,0.0,0.0,0.0,0.0,122.51319999999998,0.0,0.0,
RegionE,1,497.237499583375,497.237499583375,0.0,90.63250041662502,0.0,0.0,0.0,0.0,90.63250041662502,0.0,0.0,
RegionF,1,462.8261,462.8261,0.0,125.04390000000001,0.0,0.0,0.0,0.0,125.04390000000001,0.0,0.0,
RegionA,2,544.32,544.32,0.0,0.0,105.67999999999995,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,2,531.359999550045,531.359999550045,0.0,0.0,118.64000044995498,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,2,536.544,536.544,0.0,0.0,113.45600000000002,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,2,526.208000426624,526.208000426624,0.0,123.79199957337596,0.0,0.0,0.0,0.0,123.79199957337596,0.0,0.0,
RegionE,2,503.4,503.4,0.0,146.60000000000002,0.0,0.0,0.0,0.0,146.60000000000002,0.0,0.0,
RegionF,2,508.74929999999995,508.74929999999995,0.0,141.25070000000005,0.0,0.0,0.0,0.0,141.25070000000005,0.0,0.0,
RegionA,3,544.32,544.32,0.0,0.0,178.02999999999997,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,3,531.36,531.36,0.0,0.0,190.99,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,3,536.544,536.544,0.0,0.0,185.80600000000004,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,3,523.916799573376,523.916799573376,0.0,180.0,18.433200426624012,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,3,545.0,545.0,0.0,177.35000000000002,0.0,0.0,0.0,0.0,177.35000000000002,0.0,0.0,
RegionF,3,547.4335,547.4335,0.0,174.91650000000004,0.0,0.0,0.0,0.0,174.91650000000004,0.0,0.0,
RegionA,4,544.319999550045,544.319999550045,0.0,0.0,255.68000044995495,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,4,531.360000449955,531.360000449955,0.0,0.0,268.639999550045,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,4,536.544,536.544,0.0,0.0,263.456,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,4,588.211200426624,588.211200426624,0.0,180.0,31.788799573375968,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,4,556.687499583375,556.687499583375,0.0,220.0,23.31250041662497,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,4,559.1428999999999,559.1428999999999,0.0,220.0,20.85710000000006,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,5,544.32,544.32,0.0,0.0,333.3299999999999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,5,531.359999550045,531.359999550045,0.0,0.0,346.29000044995496,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,5,536.5439995400459,536.5439995400459,0.0,0.0,341.1060004599541,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,5,589.3631995733759,589.3631995733759,0.0,180.0,108.28680042662404,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,5,570.3125,570.3125,0.0,220.0,87.33749999999998,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,5,592.518499576709,592.518499576709,0.0,220.0,65.13150042329096,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,6,544.320000449955,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,6,531.36,531.36,0.0,0.0,418.64,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,6,536.544,536.544,0.0,0.0,413.456,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,6,587.3408000000001,587.3408000000001,0.0,180.0,182.65919999999994,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,6,591.887500416625,591.887500416625,0.0,220.0,138.11249958337498,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,6,613.7783004232911,613.7783004232911,0.0,220.0,116.22169957670894,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,7,544.320000449955,544.320000449955,0.0,0.0,467.80999955004495,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,7,531.359999550045,531.359999550045,0.0,0.0,480.770000449955,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,7,536.5439995400459,536.5439995400459,0.0,0.0,475.5860004599541,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,7,607.411199573376,607.411199573376,0.0,180.0,224.71880042662394,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,7,585.0250004166251,585.0250004166251,0.0,220.0,207.10499958337493,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,7,570.3951,570.3951,0.0,220.0,221.73490000000004,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,8,544.32,544.32,0.0,0.0,515.4899999999999,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,8,531.359999550045,531.359999550045,0.0,0.0,528.4500004499549,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,8,536.544000459954,536.544000459954,0.0,0.0,523.265999540046,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,8,580.313599573376,580.313599573376,0.0,180.0,299.49640042662395,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,8,549.1500004166251,549.1500004166251,0.0,220.0,290.6599995833749,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,8,561.6194,561.6194,0.0,220.0,278.1905999999999,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,9,544.319999550045,544.319999550045,0.0,0.0,545.4600004499549,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,9,531.36,531.36,0.0,0.0,558.42,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,9,536.544000459954,536.544000459954,0.0,0.0,553.235999540046,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,9,548.3391995733759,548.3391995733759,0.0,180.0,361.44080042662404,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,9,566.0125,566.0125,0.0,220.0,303.7674999999999,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,9,554.608999576709,554.608999576709,0.0,220.0,315.17100042329093,0.0,0.0,0.0,220.0,0.0,0.0,
RegionA,10,531.7110004499551,531.7110004499551,0.0,0.0,568.2889995500449,0.0,0.0,0.0,0.0,0.0,0.0,
RegionB,10,531.36,531.36,0.0,0.0,568.64,0.0,0.0,0.0,0.0,0.0,0.0,
RegionC,10,536.544000459954,536.544000459954,0.0,0.0,563.455999540046,0.0,0.0,0.0,0.0,0.0,0.0,
RegionD,10,541.8367995733761,541.8367995733761,0.0,180.0,378.1632004266239,0.0,0.0,0.0,180.0,0.0,0.0,
RegionE,10,533.087499583375,533.087499583375,0.0,220.0,346.912500416625,0.0,0.0,0.0,220.0,0.0,0.0,
RegionF,10,513.689599576709,513.689599576709,0.0,220.0,366.31040042329096,0.0,0.0,0.0,220.0,0.0,0.0,
